"","seq_number","sum.taxonomy"
"66","merged_12S_miu_30",""
"67","merged_12S_miu_32","Eukaryota;Chordata;Actinopteri;Labriformes;Labridae;Semicossyphus;Semicossyphus pulcher"
"68","merged_12S_miu_33","Eukaryota;Chordata;Actinopteri;;Embiotocidae;Rhacochilus;Rhacochilus vacca"
"69","merged_12S_miu_34",""
"70","merged_12S_miu_36","Eukaryota;Chordata;Actinopteri;NA;Sciaenidae;Equetus;Equetus lanceolatus"
"71","merged_12S_miu_37",""
"72","merged_12S_miu_39",""
"73","merged_12S_miu_40","Eukaryota;Chordata;Actinopteri;;;;"
"74","merged_12S_miu_41","Eukaryota;Chordata;Actinopteri;Centrarchiformes;Kyphosidae;Girella;Girella simplicidens"
"75","merged_12S_miu_42",""
"76","merged_12S_miu_43",""
"77","merged_12S_miu_46",""
"78","merged_12S_miu_47","Eukaryota;Chordata;Actinopteri;;Sciaenidae;Genyonemus;Genyonemus lineatus"
"79","merged_12S_miu_48",""
"80","merged_12S_miu_49","Eukaryota;Chordata;Actinopteri;Blenniiformes;Blenniidae;Parablennius;Parablennius yatabei"
"81","merged_12S_miu_50",""
"82","merged_12S_miu_51","Eukaryota;Chordata;Actinopteri;Blenniiformes;Blenniidae;;"
"83","merged_12S_miu_52",""
"84","merged_12S_miu_53",""
"85","merged_12S_miu_55",""
"86","merged_12S_miu_56",""
"87","merged_12S_miu_57",""
"88","merged_12S_miu_58","Eukaryota;Chordata;Actinopteri;Perciformes;Sebastidae;Sebastes;"
"89","merged_12S_miu_63","Eukaryota;Chordata;Actinopteri;Centrarchiformes;Kyphosidae;Medialuna;Medialuna californiensis"
"90","merged_12S_miu_65","Eukaryota;Chordata;Actinopteri;Pleuronectiformes;Paralichthyidae;Citharichthys;Citharichthys stigmaeus"
"91","merged_12S_miu_67","Eukaryota;Chordata;Actinopteri;Scombriformes;Stromateidae;Peprilus;Peprilus medius"
"92","merged_12S_miu_69",""
"93","merged_12S_miu_75",""
"94","merged_12S_miu_78",""
"95","merged_12S_miu_81",""
