sum.taxonomy	fishcard_12S_all_LA11.1.R1.S25.L001	fishcard_12S_all_LA11.1.R2.S26.L001	fishcard_12S_all_LA11.1.R3.S27.L001	fishcard_12S_all_LA11.2.R1.S28.L001	fishcard_12S_all_LA11.2.R2.S29.L001	fishcard_12S_all_LA11.2.R3.S30.L001	fishcard_12S_all_LA11.3.R1.S31.L001	fishcard_12S_all_LA11.3.R2.S32.L001	fishcard_12S_all_LA11.3.R3.S33.L001	fishcard_12S_all_LA11.4.R1.S34.L001	fishcard_12S_all_LA11.4.R2.S35.L001	fishcard_12S_all_LA11.4.R3.S3.L001	fishcard_12S_all_LA11.4.R3.S36.L001	fishcard_12S_all_LA11.Blank.S90.L001	fishcard_12S_all_LA14.1.R1.S37.L001	fishcard_12S_all_LA14.1.R2.S38.L001	fishcard_12S_all_LA14.1.R3.S39.L001	fishcard_12S_all_LA14.2.R1.S40.L001	fishcard_12S_all_LA14.2.R2.S41.L001	fishcard_12S_all_LA14.2.R3.S42.L001	fishcard_12S_all_LA14.3.R1.S43.L001	fishcard_12S_all_LA14.3.R2.S44.L001	fishcard_12S_all_LA14.3.R3.S45.L001	fishcard_12S_all_LA14.4.R1.S46.L001	fishcard_12S_all_LA14.4.R2.S47.L001	fishcard_12S_all_LA14.4.R3.S2.L001	fishcard_12S_all_LA14.Blank.S91.L001	fishcard_12S_all_LA3.1.R1.S1.L001	fishcard_12S_all_LA3.1.R2.S2.L001	fishcard_12S_all_LA3.1.R3.S3.L001	fishcard_12S_all_LA3.2.R1.S4.L001	fishcard_12S_all_LA3.2.R2.S5.L001	fishcard_12S_all_LA3.2.R3.S6.L001	fishcard_12S_all_LA3.3.R1.S7.L001	fishcard_12S_all_LA3.3.R2.S8.L001	fishcard_12S_all_LA3.3.R3.S9.L001	fishcard_12S_all_LA3.4.R1.S10.L001	fishcard_12S_all_LA3.4.R2.S11.L001	fishcard_12S_all_LA3.4.R3.S12.L001	fishcard_12S_all_LA3.4.R3.S8.L001	fishcard_12S_all_LA3.Blank.S88.L001	fishcard_12S_all_LA3.LA11.ext.S95.L001	fishcard_12S_all_LA6.1.R1.S13.L001	fishcard_12S_all_LA6.1.R2.S14.L001	fishcard_12S_all_LA6.1.R3.S15.L001	fishcard_12S_all_LA6.2.R1.S16.L001	fishcard_12S_all_LA6.2.R2.S17.L001	fishcard_12S_all_LA6.2.R3.S18.L001	fishcard_12S_all_LA6.3.R1.S19.L001	fishcard_12S_all_LA6.3.R2.S20.L001	fishcard_12S_all_LA6.3.R3.S21.L001	fishcard_12S_all_LA6.4.R1.S22.L001	fishcard_12S_all_LA6.4.R2.S23.L001	fishcard_12S_all_LA6.4.R3.S4.L001	fishcard_12S_all_LA6.Blank.S89.L001	fishcard_12S_all_LA6.LA14.LB2.ext.S97.L001	fishcard_12S_all_LB1.0.R1.S85.L001	fishcard_12S_all_LB1.0.R2.S86.L001	fishcard_12S_all_LB1.0.R3.S87.L001	fishcard_12S_all_LB1.1.R1.S49.L001	fishcard_12S_all_LB1.1.R2.S50.L001	fishcard_12S_all_LB1.1.R3.S51.L001	fishcard_12S_all_LB1.2.R1.S52.L001	fishcard_12S_all_LB1.2.R2.S53.L001	fishcard_12S_all_LB1.2.R3.S54.L001	fishcard_12S_all_LB1.3.R1.S55.L001	fishcard_12S_all_LB1.3.R2.S56.L001	fishcard_12S_all_LB1.3.R3.S57.L001	fishcard_12S_all_LB1.4.R1.S58.L001	fishcard_12S_all_LB1.4.R2.S59.L001	fishcard_12S_all_LB1.4.R3.S1.L001	fishcard_12S_all_LB1.4.R3.S60.L001	fishcard_12S_all_LB1.Blank.S92.L001	fishcard_12S_all_LB14.1.R1.S73.L001	fishcard_12S_all_LB14.1.R2.S74.L001	fishcard_12S_all_LB14.1.R3.S75.L001	fishcard_12S_all_LB14.2.R1.S76.L001	fishcard_12S_all_LB14.2.R2.S77.L001	fishcard_12S_all_LB14.2.R3.S78.L001	fishcard_12S_all_LB14.3.R1.S79.L001	fishcard_12S_all_LB14.3.R2.S80.L001	fishcard_12S_all_LB14.3.R3.S81.L001	fishcard_12S_all_LB14.4.R1.S82.L001	fishcard_12S_all_LB14.4.R2.S83.L001	fishcard_12S_all_LB14.4.R3.S6.L001	fishcard_12S_all_LB14.Blank.S94.L001	fishcard_12S_all_LB2.1.R1.S61.L001	fishcard_12S_all_LB2.1.R2.S62.L001	fishcard_12S_all_LB2.1.R3.S63.L001	fishcard_12S_all_LB2.2.R1.S64.L001	fishcard_12S_all_LB2.2.R2.S65.L001	fishcard_12S_all_LB2.2.R3.S66.L001	fishcard_12S_all_LB2.3.R1.S67.L001	fishcard_12S_all_LB2.3.R2.S68.L001	fishcard_12S_all_LB2.3.R3.S69.L001	fishcard_12S_all_LB2.4.R1.S70.L001	fishcard_12S_all_LB2.4.R2.S71.L001	fishcard_12S_all_LB2.4.R3.S5.L001	fishcard_12S_all_LB2.Blank.S93.L001	fishcard_12S_all_PCR.neg1.S7.L001	fishcard_12S_all_LB1.LB14.ext.S98.L001
Eukaryota;Chordata;Actinopteri;Istiophoriformes;Istiophoridae;NA;	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Eukaryota;Chordata;Actinopteri;Kurtiformes;Apogonidae;Apogon;Apogon pacificus	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	10	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Eukaryota;Chordata;Actinopteri;Labriformes;Labridae;Bodianus;Bodianus pulcher	0	90	0	693	161	1933	0	5754	0	33	0	0	0	0	26	0	0	0	0	0	39	0	0	0	0	0	0	0	93	0	0	0	8	18	0	0	4	0	0	24	0	0	0	27	1	0	0	0	0	0	86	252	48	200	0	0	0	0	0	49	0	0	0	0	0	0	0	0	0	0	0	0	0	0	58	1	0	20	4	371	0	108	9	3087	12	0	340	14	0	0	0	0	0	0	0	0	0	0	0	0	0
Eukaryota;Chordata;Actinopteri;Labriformes;Labridae;Halichoeres;	36	14	102	19	10	33	2	30	6	15	4	50	0	0	0	17	0	0	17	1	0	0	12	5	0	3	0	10	7	0	0	1	9	2	5	8	3	0	0	2	1	1	13	18	2	1	28	6	8	2	5	8	4	5	1	0	1	2	0	3	4	0	1	36	11	0	3	1	6	4	54	0	0	1	3	5	4	2	2	14	5	4	14	44	3	0	2	3	23	1	2	20	15	15	45	30	57	9	4	5	0
Eukaryota;Chordata;Actinopteri;Labriformes;Labridae;Halichoeres;Halichoeres californica	1220	867	0	3549	0	2956	2140	1876	468	0	2435	769	0	0	0	2089	0	0	0	0	0	0	0	196	0	0	0	6285	0	0	0	0	332	0	1	5022	0	0	0	0	0	0	1	7066	0	0	52	0	149	0	0	0	1233	0	0	0	0	0	0	1	845	0	0	5426	1063	0	0	0	4727	0	7483	0	0	0	479	0	1072	0	0	0	0	108	824	0	0	0	0	0	0	0	0	0	1	0	2	0	0	0	0	1998	0
Eukaryota;Chordata;Actinopteri;Labriformes;Labridae;Halichoeres;Halichoeres semicinctus	15803	7551	53857	10515	3915	20658	1980	14632	994	9165	0	25756	0	2	4	6708	12	0	8526	19	1232	16	7092	371	1	1667	0	221	2071	197	288	236	1318	892	2552	355	1339	173	0	1163	0	14	7777	1955	1426	1889	14411	3737	3500	173	1623	12839	1007	1721	13	0	878	43	2	430	1557	294	119	19339	6879	107	3746	371	0	1469	21735	0	0	477	996	836	1524	591	902	11022	1048	1600	6559	20235	708	13	294	6	13677	14	1069	8647	8058	6316	22624	11668	41299	3288	0	1	0
Eukaryota;Chordata;Actinopteri;Lophiiformes;Oneirodidae;Oneirodes;Oneirodes thompsoni	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Eukaryota;Chordata;Actinopteri;Lutjaniformes;Haemulidae;Anisotremus;Anisotremus davidsonii	6	0	162	0	497	431	835	34	285	0	0	1097	0	0	0	1665	0	812	11	0	64	20	92	0	214	1497	0	182	106	15	524	719	33	11	22	19	46	7	0	1455	0	0	5	4	381	60	26	711	25	0	14	0	3	12	0	0	43	8	0	1738	319	0	38	295	112	309	0	4	0	8	845	0	0	111	504	100	29	606	324	32	47	8	545	0	174	0	36	197	48	2000	108	1926	4828	3028	1969	1290	5904	1900	0	1285	0
Eukaryota;Chordata;Actinopteri;Lutjaniformes;Haemulidae;Brachygenys;Brachygenys californiensis	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	14	0	25	0	0	0	0	0	0	29	0	0	0	0
Eukaryota;Chordata;Actinopteri;Lutjaniformes;Haemulidae;NA;	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0
Eukaryota;Chordata;Actinopteri;Mugiliformes;Mugilidae;Mugil;Mugil cephalus	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	5	0	0	0	0	0	0	13	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	541	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	79	0	0	0	0
Eukaryota;Chordata;Actinopteri;NA;;NA;	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Eukaryota;Chordata;Actinopteri;NA;Embiotocidae;Brachyistius;Brachyistius frenatus	0	51	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	46	0	0	0	0
Eukaryota;Chordata;Actinopteri;NA;Embiotocidae;Cymatogaster;Cymatogaster aggregata	357	0	13	2054	0	0	0	0	0	0	0	0	0	0	9	3590	34	1791	383	557	149	664	1118	460	844	241	0	69	242	41	52	10	177	0	0	414	0	0	0	164	0	0	240	153	288	226	537	19	152	13	1943	189	84	1282	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	8	0	14	71	14	93	147	342	48	19	30	7	0	0	0	0	0	0	0	77	0	41	0	188	0	0	0	0
Eukaryota;Chordata;Actinopteri;NA;Embiotocidae;Embiotoca;Embiotoca caryi	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Eukaryota;Chordata;Actinopteri;NA;Embiotocidae;Embiotoca;Embiotoca jacksoni	75	0	160	117	106	1	1823	75	247	213	0	6807	0	0	111	8	100	263	1094	585	360	1994	481	4439	714	103	0	593	487	329	193	43	58	106	465	52	74	249	0	205	0	0	30	137	1	40	1119	1117	504	71	369	347	68	101	0	0	13	0	0	34	0	15	0	0	0	0	565	0	0	0	35	0	0	82	24	42	16	0	0	21	0	240	23	276	0	2	335	857	230	0	131	0	0	283	1286	27	128	0	0	0	0
Eukaryota;Chordata;Actinopteri;NA;Embiotocidae;Micrometrus;Micrometrus minimus	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	12	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Eukaryota;Chordata;Actinopteri;NA;Embiotocidae;NA;	0	0	0	0	0	0	0	132	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Eukaryota;Chordata;Actinopteri;NA;Embiotocidae;Phanerodon;	21	0	0	0	0	0	277	0	0	0	0	222	0	0	53	0	0	0	0	177	102	0	131	312	0	36	0	290	1042	223	119	0	1	124	0	30	0	0	0	151	0	0	2	47	0	281	0	253	0	0	189	0	0	20	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	100	0	0	51	502	0	48	26	0	934	0	0	0	0	0	0	0	232	0	0	0	0	0	0	0	0	0
Eukaryota;Chordata;Actinopteri;NA;Embiotocidae;Phanerodon;Phanerodon vacca	0	204	0	0	538	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	142	0	0	0	33	0	0	0	0	0	0	0	0	0	0	47	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	84	0	0	0	0	0	0	0	0	2730	0	0	0	0	0	0	0	0	0	0	0	25	0	0	0	0	0	0
Eukaryota;Chordata;Actinopteri;NA;Embiotocidae;Rhacochilus;Rhacochilus toxotes	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	35	0	0	0	0	0	0	0	0	0	0	0	27	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	53	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Eukaryota;Chordata;Actinopteri;NA;Malacanthidae;Caulolatilus;Caulolatilus princeps	0	3095	947	26	0	0	0	0	1176	178	2227	0	0	0	29	0	0	0	0	0	0	1	0	0	2999	0	0	215	355	2237	99	1472	1850	369	4100	0	0	1	0	76	0	0	0	0	183	0	0	0	0	0	26	0	23	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	279	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Eukaryota;Chordata;Actinopteri;NA;Pomacentridae;Chromis;Chromis punctipinnis	7	264	58	101	77	25	21	5	0	0	7	111	0	0	0	0	0	0	0	0	0	0	30	0	0	0	0	0	41	0	0	0	0	0	0	49	0	0	0	0	0	0	0	0	2	9	2	0	0	0	43	0	63	0	0	0	0	0	0	0	0	0	0	0	0	0	25	0	0	0	0	0	0	0	0	0	74	4	0	0	0	19	0	9	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Eukaryota;Chordata;Actinopteri;NA;Pomacentridae;Hypsypops;Hypsypops rubicundus	0	0	0	0	0	0	0	0	74	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	190	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Eukaryota;Chordata;Actinopteri;NA;Sciaenidae;Cheilotrema;Cheilotrema saturnum	0	123	0	27	23	66	0	301	105	77	0	600	0	0	117	169	13	32	131	34	412	24	171	603	15	7	0	0	0	0	24042	849	0	0	713	299	0	258	0	0	2	0	0	351	42	61	89	73	452	0	207	230	95	90	0	0	0	0	0	0	1002	0	0	0	17	0	0	0	0	0	0	0	0	18	172	7	19	22	109	19	205	0	0	727	41	0	6	15	0	10	0	0	41	0	538	23	0	359	0	0	0
Eukaryota;Chordata;Actinopteri;NA;Sciaenidae;Genyonemus;Genyonemus lineatus	178	966	89	196	161	354	639	68	5093	349	0	747	0	0	0	359	0	1	0	86	99	342	529	778	1135	12	0	384	1698	222	1438	1733	73	0	1	537	48	0	0	1225	0	0	119	444	59	86	212	0	142	128	675	2840	39	18	0	0	662	53	0	13	32	0	0	417	1914	1771	116	216	589	345	1206	0	0	373	671	102	354	4008	507	1226	2850	4258	3781	3324	1048	0	0	0	0	61	283	9	390	563	0	132	125	402	0	15	0
Eukaryota;Chordata;Actinopteri;NA;Sciaenidae;Menticirrhus;Menticirrhus undulatus	12	17	0	139	698	0	0	0	0	0	0	0	0	0	0	1093	0	0	0	0	12	0	378	0	0	0	0	19	0	682	33	7	152	82	46	0	246	0	0	0	0	0	0	0	0	0	0	0	0	0	21	0	0	0	0	0	186	0	0	0	459	0	0	0	0	0	1615	164	127	60	47	0	0	0	0	0	21	81	0	214	0	180	0	109	0	0	0	0	19	1	404	311	0	140	1984	336	3500	0	0	0	0
Eukaryota;Chordata;Actinopteri;NA;Sciaenidae;NA;	0	0	0	0	0	5	0	0	0	0	0	17	0	0	0	0	0	0	0	0	0	0	18	0	0	0	0	0	0	0	0	0	0	0	18	7	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	10	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	5	0	0	0	0	0	33	323	0	76	12	83	72	622	889	0	0	0	0
Eukaryota;Chordata;Actinopteri;NA;Sciaenidae;Seriphus;Seriphus politus	343	62	0	305	335	0	13	298	431	668	0	621	0	0	0	0	0	0	40	0	0	0	0	85	0	6	0	38	138	118	167	60	37	246	129	0	0	0	0	129	0	0	0	20	74	21	50	0	0	4	0	0	33	0	0	0	0	0	0	70	313	0	0	12	247	20	206	0	561	0	0	0	0	84	128	556	47	313	57	32	115	198	832	1517	161	0	0	0	0	60	19	0	0	8	0	96	197	232	0	380	0
Eukaryota;Chordata;Actinopteri;NA;Sciaenidae;Umbrina;Umbrina roncador	0	0	0	0	148	0	0	13	0	0	0	0	0	0	0	0	0	0	0	204	17	0	0	0	0	0	0	10	0	0	0	19	16	0	0	42	27	0	0	72	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	22	464	0	0	36	0	33	0	0	0	0
Eukaryota;Chordata;Actinopteri;NA;Sphyraenidae;Sphyraena;Sphyraena argentea	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	167	0	0	254	1097	5	342	40	0	0	62	0	0	7	1216	0	0	0	0	0	0	0	0	0	0	0	231	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Eukaryota;Chordata;Actinopteri;Ophidiiformes;Ophidiidae;Ophidion;Ophidion scrippsae	0	0	0	0	0	0	0	0	8	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	17	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	159	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Eukaryota;Chordata;Actinopteri;Pempheriformes;Polyprionidae;Stereolepis;Stereolepis gigas	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	149	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Eukaryota;Chordata;Actinopteri;Perciformes;Bathymasteridae;Rathbunella;Rathbunella hypoplecta	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	34	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Eukaryota;Chordata;Actinopteri;Perciformes;Cottidae;Chitonotus;Chitonotus pugetensis	0	0	0	0	0	0	0	0	0	0	0	1189	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Eukaryota;Chordata;Actinopteri;Perciformes;Cottidae;Clinocottus;Clinocottus analis	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	7	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	916	0	0	0	0	0	0	0	0	0	0	0	0	0
Eukaryota;Chordata;Actinopteri;Perciformes;Cottidae;Icelinus;Icelinus quadriseriatus	0	0	0	0	0	0	0	42	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	37	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Eukaryota;Chordata;Actinopteri;Perciformes;Cottidae;Ruscarius;Ruscarius creaseri	0	0	0	0	0	0	68	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	75	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	318	0	0	0
Eukaryota;Chordata;Actinopteri;Perciformes;Cottidae;Scorpaenichthys;Scorpaenichthys marmoratus	0	0	0	0	0	0	0	0	0	0	0	295	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Eukaryota;Chordata;Actinopteri;Perciformes;Ptilichthyidae;Ptilichthys;Ptilichthys goodei	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Eukaryota;Chordata;Actinopteri;Perciformes;Scorpaenidae;Scorpaena;Scorpaena guttata	0	17	0	531	0	0	8	0	0	0	0	214	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	5	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Eukaryota;Chordata;Actinopteri;Perciformes;Sebastidae;Sebastes;	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	59	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	524	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Eukaryota;Chordata;Actinopteri;Perciformes;Sebastidae;Sebastes;Sebastes gilli	0	11	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Eukaryota;Chordata;Actinopteri;Perciformes;Sebastidae;Sebastes;Sebastes paucispinis	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	14	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Eukaryota;Chordata;Actinopteri;Perciformes;Serranidae;Paralabrax;Paralabrax auroguttatus	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
