"","seq_number","sum.taxonomy"
"102","merged_fishcard_12S_all_elas_205",""
"103","merged_fishcard_12S_all_elas_209",""
"104","merged_fishcard_12S_all_elas_211",""
"105","merged_fishcard_12S_all_elas_217",""
"106","merged_fishcard_12S_all_elas_222",""
"107","merged_fishcard_12S_all_elas_223",""
"108","merged_fishcard_12S_all_elas_224",""
"109","merged_fishcard_12S_all_elas_225",""
"110","merged_fishcard_12S_all_elas_226",""
"111","merged_fishcard_12S_all_elas_228",""
"112","merged_fishcard_12S_all_elas_235",""
"113","merged_fishcard_12S_all_elas_236",""
"114","merged_fishcard_12S_all_elas_239",""
"115","merged_fishcard_12S_all_elas_240",""
"116","merged_fishcard_12S_all_elas_245",""
"117","merged_fishcard_12S_all_elas_246",""
"118","merged_fishcard_12S_all_elas_258",""
"119","merged_fishcard_12S_all_elas_259",""
"120","merged_fishcard_12S_all_elas_272",""
"121","merged_fishcard_12S_all_elas_275",""
"122","merged_fishcard_12S_all_elas_276",""
"123","merged_fishcard_12S_all_elas_281",""
"124","merged_fishcard_12S_all_elas_282",""
"125","merged_fishcard_12S_all_elas_283",""
"126","merged_fishcard_12S_all_elas_285","Eukaryota;Chordata;Mammalia;Primates;Hominidae;Homo;Homo sapiens"
"127","merged_fishcard_12S_all_elas_294",""
"128","merged_fishcard_12S_all_elas_299","Eukaryota;Chordata;Mammalia;Primates;Hominidae;Homo;Homo sapiens"
"129","merged_fishcard_12S_all_elas_308",""
"130","merged_fishcard_12S_all_elas_311","Eukaryota;Chordata;Mammalia;Primates;Hominidae;Homo;Homo sapiens"
"131","merged_fishcard_12S_all_elas_312",""
"132","merged_fishcard_12S_all_elas_314",""
"133","merged_fishcard_12S_all_elas_325",""
"134","merged_fishcard_12S_all_elas_337",""
"135","merged_fishcard_12S_all_elas_338",""
"136","merged_fishcard_12S_all_elas_339","Eukaryota;Chordata;Mammalia;Primates;Hominidae;Homo;Homo sapiens"
"137","merged_fishcard_12S_all_elas_340",""
"138","merged_fishcard_12S_all_elas_343",""
"139","merged_fishcard_12S_all_elas_346",""
"140","merged_fishcard_12S_all_elas_348",""
"141","merged_fishcard_12S_all_elas_351","Eukaryota;Chordata;Mammalia;Primates;Hominidae;Homo;Homo sapiens"
"142","merged_fishcard_12S_all_elas_356",""
"143","merged_fishcard_12S_all_elas_377",""
"144","merged_fishcard_12S_all_elas_386",""
"145","merged_fishcard_12S_all_elas_388",""
"146","merged_fishcard_12S_all_elas_393",""
"147","merged_fishcard_12S_all_elas_394",""
"148","merged_fishcard_12S_all_elas_409",""
"149","merged_fishcard_12S_all_elas_456","Eukaryota;Chordata;Mammalia;Primates;Hominidae;Homo;Homo sapiens"
"150","merged_fishcard_12S_all_elas_464",""
"151","merged_fishcard_12S_all_elas_478","Eukaryota;Chordata;Mammalia;Primates;Hominidae;Homo;Homo sapiens"
"152","merged_fishcard_12S_all_elas_483",""
"153","merged_fishcard_12S_all_elas_487",""
"154","merged_fishcard_12S_all_elas_495",""
"155","merged_fishcard_12S_all_elas_501",""
"156","merged_fishcard_12S_all_elas_505",""
"157","merged_fishcard_12S_all_elas_507",""
"158","merged_fishcard_12S_all_elas_512","Eukaryota;Chordata;Mammalia;Primates;Hominidae;Homo;Homo sapiens"
"159","merged_fishcard_12S_all_elas_516",""
"160","merged_fishcard_12S_all_elas_529",""
"161","merged_fishcard_12S_all_elas_539",""
"162","merged_fishcard_12S_all_elas_564",""
"163","merged_fishcard_12S_all_elas_578",""
"164","merged_fishcard_12S_all_elas_592",""
"165","merged_fishcard_12S_all_elas_609",""
"166","merged_fishcard_12S_all_elas_617",""
"167","merged_fishcard_12S_all_elas_633",""
"168","merged_fishcard_12S_all_elas_653",""
"169","merged_fishcard_12S_all_elas_668","Eukaryota;Chordata;Actinopteri;Atheriniformes;Atherinopsidae;Atherinops;Atherinops affinis"
"170","merged_fishcard_12S_all_elas_675",""
"171","merged_fishcard_12S_all_elas_690",""
"172","merged_fishcard_12S_all_elas_702",""
"173","merged_fishcard_12S_all_elas_709",""
"174","merged_fishcard_12S_all_elas_714",""
"175","merged_fishcard_12S_all_elas_746",""
"176","merged_fishcard_12S_all_elas_761",""
"177","merged_fishcard_12S_all_elas_775",""
"178","merged_fishcard_12S_all_elas_795","Eukaryota;Chordata;Mammalia;Primates;Hominidae;Homo;Homo sapiens"
"179","merged_fishcard_12S_all_elas_822",""
"180","merged_fishcard_12S_all_elas_871",""
"181","merged_fishcard_12S_all_elas_872","Eukaryota;Chordata;Mammalia;Primates;Hominidae;Homo;Homo sapiens"
"182","merged_fishcard_12S_all_elas_888",""
"183","merged_fishcard_12S_all_elas_893",""
"184","merged_fishcard_12S_all_elas_899",""
"185","merged_fishcard_12S_all_elas_930",""
"186","merged_fishcard_12S_all_elas_934",""
"187","merged_fishcard_12S_all_elas_943",""
"188","merged_fishcard_12S_all_elas_946",""
"189","merged_fishcard_12S_all_elas_993",""
"190","merged_fishcard_12S_all_elas_998",""
"191","merged_fishcard_12S_all_elas_1014","Eukaryota;Chordata;Mammalia;Primates;Hominidae;Homo;Homo sapiens"
"192","merged_fishcard_12S_all_elas_1032",""
"193","merged_fishcard_12S_all_elas_1045",""
"194","merged_fishcard_12S_all_elas_1060",""
"195","merged_fishcard_12S_all_elas_1064",""
"196","merged_fishcard_12S_all_elas_1071",""
"197","merged_fishcard_12S_all_elas_1075",""
"198","merged_fishcard_12S_all_elas_1110",""
"199","merged_fishcard_12S_all_elas_1128",""
"200","merged_fishcard_12S_all_elas_1163","Eukaryota;Chordata;Mammalia;Primates;Hominidae;Homo;Homo sapiens"
"201","merged_fishcard_12S_all_elas_1171",""
"202","merged_fishcard_12S_all_elas_1190","Eukaryota;Chordata;Mammalia;Primates;Hominidae;Homo;Homo sapiens"
"203","merged_fishcard_12S_all_elas_1200",""
"204","merged_fishcard_12S_all_elas_1349",""
"205","merged_fishcard_12S_all_elas_1425","Eukaryota;Chordata;Mammalia;Primates;Hominidae;Homo;Homo sapiens"
"206","merged_fishcard_12S_all_elas_1450",""
"207","merged_fishcard_12S_all_elas_1466",""
"208","merged_fishcard_12S_all_elas_1475","Eukaryota;Chordata;Mammalia;Primates;Hominidae;Homo;Homo sapiens"
"209","merged_fishcard_12S_all_elas_1497",""
"210","merged_fishcard_12S_all_elas_1579","Eukaryota;Chordata;Mammalia;Primates;Hominidae;Homo;Homo sapiens"
"211","merged_fishcard_12S_all_elas_1667","Eukaryota;Chordata;Mammalia;Primates;Hominidae;Homo;Homo sapiens"
"212","merged_fishcard_12S_all_elas_1745",""
"213","merged_fishcard_12S_all_elas_1786",""
"214","merged_fishcard_12S_all_elas_1789",""
"215","merged_fishcard_12S_all_elas_1933",""
"216","merged_fishcard_12S_all_elas_1980",""
"217","merged_fishcard_12S_all_elas_2032",""
"218","merged_fishcard_12S_all_elas_2058",""
"219","merged_fishcard_12S_all_elas_2059",""
"220","merged_fishcard_12S_all_elas_2069",""
"221","merged_fishcard_12S_all_elas_2117",""
"222","merged_fishcard_12S_all_elas_2174",""
"223","merged_fishcard_12S_all_elas_2183",""
"224","merged_fishcard_12S_all_elas_2264",""
"225","merged_fishcard_12S_all_elas_2265",""
"226","merged_fishcard_12S_all_elas_2432",""
"227","merged_fishcard_12S_all_elas_2433",""
"228","merged_fishcard_12S_all_elas_2479",""
"229","merged_fishcard_12S_all_elas_2494",""
"230","merged_fishcard_12S_all_elas_2495",""
"231","merged_fishcard_12S_all_elas_2536",""
"232","merged_fishcard_12S_all_elas_2725",""
"233","merged_fishcard_12S_all_elas_2726",""
"234","merged_fishcard_12S_all_miu_1","Eukaryota;Chordata;Actinopteri;Clupeiformes;Engraulidae;Engraulis;Engraulis mordax"
"235","merged_fishcard_12S_all_miu_2","Eukaryota;Chordata;Actinopteri;Perciformes;Serranidae;Paralabrax;Paralabrax nebulifer"
"236","merged_fishcard_12S_all_miu_3","Eukaryota;Chordata;Actinopteri;Perciformes;Serranidae;Paralabrax;Paralabrax maculatofasciatus"
"237","merged_fishcard_12S_all_miu_4","Eukaryota;Chordata;Actinopteri;Atheriniformes;Atherinopsidae;Atherinops;Atherinops affinis"
"238","merged_fishcard_12S_all_miu_5","Eukaryota;Chordata;Actinopteri;Atheriniformes;Atherinopsidae;Atherinops;Atherinops affinis"
"239","merged_fishcard_12S_all_miu_6","Eukaryota;Chordata;Actinopteri;Atheriniformes;Atherinopsidae;Leuresthes;Leuresthes tenuis"
"240","merged_fishcard_12S_all_miu_7","Eukaryota;Chordata;Actinopteri;Scombriformes;Scombridae;Scomber;Scomber japonicus"
"241","merged_fishcard_12S_all_miu_8","Eukaryota;Chordata;Actinopteri;;Sciaenidae;Genyonemus;Genyonemus lineatus"
"242","merged_fishcard_12S_all_miu_9","Eukaryota;Chordata;Actinopteri;Labriformes;Labridae;Halichoeres;Halichoeres semicinctus"
"243","merged_fishcard_12S_all_miu_10","Eukaryota;Chordata;Actinopteri;Scombriformes;Scombridae;Thunnus;"
"244","merged_fishcard_12S_all_miu_11","Eukaryota;Chordata;Actinopteri;Clupeiformes;Clupeidae;Sardinops;Sardinops sagax"
"245","merged_fishcard_12S_all_miu_12","Eukaryota;Chordata;Actinopteri;Clupeiformes;Clupeidae;Sardinops;Sardinops sagax"
"246","merged_fishcard_12S_all_miu_13","Eukaryota;Chordata;Actinopteri;;Embiotocidae;Embiotoca;Embiotoca jacksoni"
"247","merged_fishcard_12S_all_miu_14",""
"248","merged_fishcard_12S_all_miu_15","Eukaryota;Chordata;Actinopteri;Clupeiformes;Clupeidae;Sardinops;Sardinops sagax"
"249","merged_fishcard_12S_all_miu_16","Eukaryota;Chordata;Actinopteri;Scombriformes;Scombridae;Sarda;Sarda chiliensis"
"250","merged_fishcard_12S_all_miu_17","Eukaryota;Chordata;Actinopteri;Pleuronectiformes;Paralichthyidae;Paralichthys;Paralichthys californicus"
"251","merged_fishcard_12S_all_miu_18","Eukaryota;Chordata;Actinopteri;Gobiiformes;Gobiidae;;"
