"","seq_number","sum.taxonomy"
"86","merged_CO1_134","Bacteria;Proteobacteria;Alphaproteobacteria;Pelagibacterales;Pelagibacteraceae;NA;alpha proteobacterium HIMB5"
"87","merged_CO1_136","Eukaryota;;Dinophyceae;Gymnodiniales;Gymnodiniaceae;;"
"88","merged_CO1_138",""
"89","merged_CO1_139","Eukaryota;Bacillariophyta;;;;;"
"90","merged_CO1_143",""
"91","merged_CO1_144","Eukaryota;;;;;;"
"92","merged_CO1_146","Bacteria;Proteobacteria;Alphaproteobacteria;Pelagibacterales;Pelagibacteraceae;Candidatus Pelagibacter;Candidatus Pelagibacter sp. HIMB1321"
"93","merged_CO1_147","Eukaryota;Rhodophyta;Florideophyceae;Batrachospermales;Batrachospermaceae;Kumanoa;Kumanoa gracillima"
"94","merged_CO1_148","Eukaryota;;Dinophyceae;Prorocentrales;Prorocentraceae;Prorocentrum;"
"95","merged_CO1_149","Eukaryota;Arthropoda;Hexanauplia;Calanoida;;;"
"96","merged_CO1_152",""
"97","merged_CO1_156",""
"98","merged_CO1_159",""
"99","merged_CO1_160",""
"100","merged_CO1_162",""
"101","merged_CO1_163","Eukaryota;NA;Dinophyceae;Gymnodiniales;Gymnodiniaceae;Margalefidinium;Margalefidinium polykrikoides"
"102","merged_CO1_169","Eukaryota;;Dictyochophyceae;Florenciellales;;Pseudochattonella;Pseudochattonella farcimen"
"103","merged_CO1_170",""
"104","merged_CO1_171",""
"105","merged_CO1_175","Eukaryota;;;;;;"
"106","merged_CO1_176",""
"107","merged_CO1_181",""
"108","merged_CO1_182",""
"109","merged_CO1_188","Eukaryota;;;;;;"
"110","merged_CO1_189","Eukaryota;;Dinophyceae;Gymnodiniales;Gymnodiniaceae;;"
"111","merged_CO1_192","Eukaryota;Arthropoda;Hexanauplia;Calanoida;;;"
"112","merged_CO1_194",""
"113","merged_CO1_200","Eukaryota;;;;;;"
"114","merged_CO1_204","Eukaryota;;Dinophyceae;Gonyaulacales;Gonyaulacaceae;Alexandrium;"
"115","merged_CO1_205","Eukaryota;;;;;;"
"116","merged_CO1_206","Eukaryota;;Dinophyceae;;;;"
"117","merged_CO1_207",""
"118","merged_CO1_209","Eukaryota;Bacillariophyta;Coscinodiscophyceae;Rhizosoleniales;Rhizosoleniaceae;Rhizosolenia;Rhizosolenia setigera"
"119","merged_CO1_210","Eukaryota;;Dinophyceae;;;;"
"120","merged_CO1_212","Eukaryota;;;;;;"
"121","merged_CO1_214","Eukaryota;;;;;;"
"122","merged_CO1_215","Eukaryota;;;;;;"
"123","merged_CO1_217",""
"124","merged_CO1_219","Eukaryota;;Oomycetes;;;;"
"125","merged_CO1_231",""
"126","merged_CO1_232","Eukaryota;;;;;;"
"127","merged_CO1_238","Eukaryota;;Oomycetes;Peronosporales;Peronosporaceae;Phytophthora;"
"128","merged_CO1_239","Bacteria;Proteobacteria;Alphaproteobacteria;Pelagibacterales;Pelagibacteraceae;Candidatus Pelagibacter;Candidatus Pelagibacter sp. HIMB1321"
"129","merged_CO1_243","Eukaryota;NA;Synurophyceae;Parmales;Triparmaceae;Triparma;Triparma laevis"
"130","merged_CO1_244","Eukaryota;Bacillariophyta;Bacillariophyceae;Bacillariales;Bacillariaceae;Pseudo-nitzschia;"
"131","merged_CO1_248","Bacteria;Proteobacteria;Alphaproteobacteria;Pelagibacterales;Pelagibacteraceae;Candidatus Pelagibacter;Candidatus Pelagibacter sp. HIMB1321"
"132","merged_CO1_250","Eukaryota;Porifera;Demospongiae;Tethyida;Tethyidae;Tethya;Tethya aurantium"
"133","merged_CO1_251",""
"134","merged_CO1_263",""
"135","merged_CO1_266",""
"136","merged_CO1_269","Eukaryota;;;;;;"
