12S_seq_number	X12S_LA11.1.R1.S25.L001	X12S_LA11.1.R2.S26.L001	X12S_LA11.1.R3.S27.L001	X12S_LA11.2.R1.S28.L001	X12S_LA11.2.R2.S29.L001	X12S_LA11.2.R3.S30.L001	X12S_LA11.3.R1.S31.L001	X12S_LA11.3.R2.S32.L001	X12S_LA11.3.R3.S33.L001	X12S_LA11.4.R1.S34.L001	X12S_LA11.4.R2.S35.L001	X12S_LA11.4.R3.S36.L001	X12S_LA11.Blank.S90.L001	X12S_LA14.1.R1.S37.L001	X12S_LA14.1.R2.S38.L001	X12S_LA14.1.R3.S39.L001	X12S_LA14.2.R1.S40.L001	X12S_LA14.2.R2.S41.L001	X12S_LA14.2.R3.S42.L001	X12S_LA14.3.R1.S43.L001	X12S_LA14.3.R2.S44.L001	X12S_LA14.3.R3.S45.L001	X12S_LA14.4.R1.S46.L001	X12S_LA14.4.R2.S47.L001	X12S_LA14.4.R3.S48.L001	X12S_LA14.Blank.S91.L001	X12S_LA3.1.R1.S1.L001	X12S_LA3.1.R2.S2.L001	X12S_LA3.1.R3.S3.L001	X12S_LA3.2.R1.S4.L001	X12S_LA3.2.R2.S5.L001	X12S_LA3.2.R3.S6.L001	X12S_LA3.3.R1.S7.L001	X12S_LA3.3.R2.S8.L001	X12S_LA3.3.R3.S9.L001	X12S_LA3.4.R1.S10.L001	X12S_LA3.4.R2.S11.L001	X12S_LA3.4.R3.S12.L001	X12S_LA3.Blank.S88.L001	X12S_LA3.LA11.ext.S95.L001	X12S_LA6.1.R1.S13.L001	X12S_LA6.1.R2.S14.L001	X12S_LA6.1.R3.S15.L001	X12S_LA6.2.R1.S16.L001	X12S_LA6.2.R2.S17.L001	X12S_LA6.2.R3.S18.L001	X12S_LA6.3.R1.S19.L001	X12S_LA6.3.R2.S20.L001	X12S_LA6.3.R3.S21.L001	X12S_LA6.4.R1.S22.L001	X12S_LA6.4.R2.S23.L001	X12S_LA6.4.R3.S24.L001	X12S_LA6.Blank.S89.L001	X12S_LA6.LA14.LB2.ext.S97.L001	X12S_LB1.0.R1.S85.L001	X12S_LB1.0.R2.S86.L001	X12S_LB1.0.R3.S87.L001	X12S_LB1.1.R1.S49.L001	X12S_LB1.1.R2.S50.L001	X12S_LB1.1.R3.S51.L001	X12S_LB1.2.R1.S52.L001	X12S_LB1.2.R2.S53.L001	X12S_LB1.2.R3.S54.L001	X12S_LB1.3.R1.S55.L001	X12S_LB1.3.R2.S56.L001	X12S_LB1.3.R3.S57.L001	X12S_LB14.1.R1.S73.L001	X12S_LB14.1.R2.S74.L001	X12S_LB14.1.R3.S75.L001	X12S_LB14.2.R1.S76.L001	X12S_LB14.2.R2.S77.L001	X12S_LB14.2.R3.S78.L001	X12S_LB14.3.R1.S79.L001	X12S_LB14.3.R2.S80.L001	X12S_LB14.3.R3.S81.L001	X12S_LB14.4.R1.S82.L001	X12S_LB14.4.R2.S83.L001	X12S_LB14.4.R3.S84.L001	X12S_LB14.Blank.S94.L001	X12S_LB1.4.R1.S58.L001	X12S_LB1.4.R2.S59.L001	X12S_LB1.4.R3.S60.L001	X12S_LB1.Blank.S92.L001	X12S_LB1.LB14.ext.S98.L001	X12S_LB2.1.R1.S61.L001	X12S_LB2.1.R2.S62.L001	X12S_LB2.1.R3.S63.L001	X12S_LB2.2.R1.S64.L001	X12S_LB2.2.R2.S65.L001	X12S_LB2.2.R3.S66.L001	X12S_LB2.3.R1.S67.L001	X12S_LB2.3.R2.S68.L001	X12S_LB2.3.R3.S69.L001	X12S_LB2.4.R1.S70.L001	X12S_LB2.4.R2.S71.L001	X12S_LB2.4.R3.S72.L001	X12S_LB2.Blank.S93.L001	X12S_PCR.neg1.S96.L001	X12S_PCR.neg2.S99.L001	sum taxonomy
forward_12S_1	24	38	17	22	37	86	51	37	20	84	66	30	0	27	9	13	9	17	34	50	60	99	43	25	102	0	52	81	38	51	43	75	76	47	37	23	23	13	0	1	78	201	50	126	150	171	183	67	48	97	84	66	0	0	4	10	6	30	46	1	80	50	31	52	66	76	230	138	112	210	182	144	222	282	147	242	282	319	0	35	79	53	0	2	24	22	12	9	28	14	25	25	38	43	17	17	0	0	5	Eukaryota;Chordata;Actinopteri;Clupeiformes;Engraulidae;Engraulis;Engraulis mordax
forward_12S_2	31	31	14	7	23	31	10	5	6	23	5	11	0	1	5	1	1	1	5	19	15	28	14	12	17	0	2	7	0	4	0	3	1	5	7	5	51	10	0	0	10	11	11	13	25	19	38	9	4	31	42	53	0	0	3	0	0	5	8	1	25	25	10	17	8	15	33	32	17	7	70	20	38	50	22	38	48	37	0	9	3	1	0	0	5	17	0	3	0	5	1	2	13	3	1	2	0	0	4	Eukaryota;Chordata;Actinopteri;;;;
forward_12S_3	0	3	0	5	0	0	1	1	8	0	1	1	0	36	37	20	22	30	64	89	115	58	88	56	67	0	1	6	0	0	0	0	6	1	0	1	6	0	0	0	3	17	1	4	2	14	4	1	1	12	13	10	0	0	0	0	0	0	0	0	0	0	0	0	0	0	63	26	7	4	11	15	7	12	16	88	31	26	0	0	0	0	0	0	3	0	2	0	1	5	3	3	1	4	0	0	0	0	1	Eukaryota;Chordata;Actinopteri;;;;
forward_12S_4	1	2	2	0	9	16	25	9	3	8	6	26	0	34	15	10	3	8	51	11	6	9	21	6	2	0	19	18	3	47	28	47	64	46	17	66	55	68	0	0	1	7	4	1	19	11	2	13	2	9	12	23	1	0	1	33	0	0	2	0	0	5	3	8	0	0	12	8	2	2	1	2	16	0	2	3	4	0	0	0	0	0	0	0	19	9	8	2	6	7	7	6	6	7	5	5	0	0	1	Eukaryota;Chordata;Actinopteri;Atheriniformes;Atherinopsidae;Odontesthes;
forward_12S_5	0	0	7	0	4	2	0	0	2	1	3	17	0	0	0	0	0	0	0	0	0	6	0	0	0	0	7	9	4	21	2	33	74	59	38	60	71	48	0	0	0	1	0	0	1	0	0	0	0	0	0	0	1	0	0	15	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	4	1	0	1	0	0	0	0	1	Eukaryota;Chordata;Actinopteri;Atheriniformes;Atherinopsidae;Odontesthes;
forward_12S_6	3	4	1	8	3	7	11	7	1	10	15	3	0	1	0	0	4	5	0	0	0	1	5	0	1	0	24	10	2	12	5	24	16	16	9	21	76	27	0	1	3	0	0	2	15	3	0	3	0	1	0	0	0	1	2	6	0	0	0	0	0	0	0	0	0	0	7	8	1	7	0	4	1	6	8	6	9	5	0	0	0	1	0	0	3	1	0	7	0	0	2	0	5	4	1	1	0	0	1	Eukaryota;Chordata;Actinopteri;Scombriformes;Scombridae;Scomber;Scomber japonicus
forward_12S_7	0	8	0	1	0	0	0	1	0	0	2	0	0	1	1	1	0	0	0	0	0	2	0	1	2	0	112	120	25	3	36	26	7	28	4	9	7	11	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	10	0	1	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	Eukaryota;Chordata;Actinopteri;Atheriniformes;Atherinopsidae;Odontesthes;Odontesthes incisa
forward_12S_8	19	1	0	1	3	1	2	1	1	32	2	6	0	0	1	0	0	1	0	0	2	0	1	1	18	0	2	0	3	2	11	5	1	4	3	0	3	0	0	0	0	0	0	0	0	1	5	0	4	1	4	1	0	0	0	0	1	1	0	0	1	0	0	3	15	1	15	16	14	5	33	13	3	16	4	18	62	35	0	7	0	1	0	0	0	0	0	1	1	0	3	3	1	2	2	0	0	0	0	Eukaryota;Chordata;Actinopteri;;Sciaenidae;Genyonemus;Genyonemus lineatus
forward_12S_9	3	6	5	0	8	6	3	7	5	2	11	0	0	1	3	0	0	0	0	0	0	0	0	0	2	0	23	4	11	3	10	35	4	14	20	13	11	9	0	0	2	1	0	8	2	3	4	2	1	16	21	34	0	0	0	0	0	0	0	0	0	0	0	0	0	0	11	0	0	1	0	1	0	2	0	0	2	0	0	10	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	4	Eukaryota;Chordata;Actinopteri;Clupeiformes;Clupeidae;Sardinops;Sardinops melanostictus
forward_12S_10	13	30	4	18	0	1	23	6	0	0	2	3	0	1	1	0	1	0	0	13	0	3	0	0	1	0	1	3	0	0	1	0	0	2	9	2	3	2	0	0	5	3	6	1	2	6	1	0	4	18	5	9	0	0	0	1	1	0	1	0	13	1	2	0	0	0	3	2	2	1	6	6	18	41	0	1	10	4	0	1	3	1	0	0	0	1	0	0	0	1	0	4	2	1	0	10	0	0	2	Eukaryota;Chordata;Actinopteri;Labriformes;Labridae;Oxyjulis;Oxyjulis californica
