,Location,t,method,order,qD,qD.LCL,qD.UCL,SC,SC.LCL,SC.UCL,Level,Station
71,2,21,extrapolated,0,70.756,62.443,79.068,1,1,1,Location,S1
72,2,22,extrapolated,0,70.756,62.435,79.076,1,1,1,Location,S1
73,2,23,extrapolated,0,70.756,62.429,79.082,1,1,1,Location,S1
74,2,24,extrapolated,0,70.756,62.425,79.086,1,1,1,Location,S1
75,2,25,extrapolated,0,70.756,62.421,79.09,1,1,1,Location,S1
76,2,26,extrapolated,0,70.756,62.418,79.093,1,1,1,Location,S1
77,2,27,extrapolated,0,70.756,62.416,79.095,1,1,1,Location,S1
78,2,28,extrapolated,0,70.756,62.415,79.096,1,1,1,Location,S1
79,2,29,extrapolated,0,70.756,62.414,79.098,1,1,1,Location,S1
80,2,30,extrapolated,0,70.756,62.413,79.098,1,1,1,Location,S1
81,2,31,extrapolated,0,70.756,62.412,79.099,1,1,1,Location,S1
82,2,32,extrapolated,0,70.756,62.411,79.1,1,1,1,Location,S1
83,2,33,extrapolated,0,70.756,62.411,79.1,1,1,1,Location,S1
84,2,34,extrapolated,0,70.756,62.411,79.1,1,1,1,Location,S1
85,2,35,extrapolated,0,70.756,62.41,79.101,1,1,1,Location,S1
86,2,36,extrapolated,0,70.756,62.41,79.101,1,1,1,Location,S1
87,2,37,extrapolated,0,70.756,62.41,79.101,1,1,1,Location,S1
88,2,38,extrapolated,0,70.756,62.41,79.101,1,1,1,Location,S1
89,2,39,extrapolated,0,70.756,62.41,79.101,1,1,1,Location,S1
90,2,40,extrapolated,0,70.756,62.41,79.101,1,1,1,Location,S1
91,2,41,extrapolated,0,70.756,62.41,79.101,1,1,1,Location,S1
92,2,42,extrapolated,0,70.756,62.41,79.101,1,1,1,Location,S1
93,2,43,extrapolated,0,70.756,62.41,79.101,1,1,1,Location,S1
94,2,44,extrapolated,0,70.756,62.41,79.101,1,1,1,Location,S1
95,2,45,extrapolated,0,70.756,62.41,79.101,1,1,1,Location,S1
96,2,46,extrapolated,0,70.756,62.41,79.101,1,1,1,Location,S1
97,2,47,extrapolated,0,70.756,62.41,79.101,1,1,1,Location,S1
98,2,48,extrapolated,0,70.756,62.41,79.102,1,1,1,Location,S1
99,2,49,extrapolated,0,70.756,62.41,79.102,1,1,1,Location,S1
100,2,50,extrapolated,0,70.756,62.41,79.102,1,1,1,Location,S1
101,3,1,interpolated,0,50,47.097,52.903,0.827,0.788,0.865,Location,S1
102,3,2,interpolated,0,58.667,55.074,62.259,0.933,0.899,0.968,Location,S1
103,3,3,observed,0,62,57.735,66.265,0.974,0.945,1,Location,S1
104,3,4,extrapolated,0,63.282,58.253,68.311,0.99,0.968,1,Location,S1
105,3,5,extrapolated,0,63.775,58.065,69.485,0.996,0.981,1,Location,S1
106,3,6,extrapolated,0,63.965,57.729,70.201,0.999,0.988,1,Location,S1
107,3,7,extrapolated,0,64.038,57.421,70.655,0.999,0.992,1,Location,S1
108,3,8,extrapolated,0,64.066,57.18,70.951,1,0.994,1,Location,S1
109,3,9,extrapolated,0,64.077,57.004,71.149,1,0.996,1,Location,S1
110,3,10,extrapolated,0,64.081,56.879,71.282,1,0.997,1,Location,S1
111,3,11,extrapolated,0,64.082,56.792,71.373,1,0.998,1,Location,S1
112,3,12,extrapolated,0,64.083,56.73,71.436,1,0.999,1,Location,S1
113,3,13,extrapolated,0,64.083,56.687,71.479,1,0.999,1,Location,S1
114,3,14,extrapolated,0,64.083,56.657,71.51,1,0.999,1,Location,S1
115,3,15,extrapolated,0,64.083,56.635,71.531,1,0.999,1,Location,S1
116,3,16,extrapolated,0,64.083,56.62,71.546,1,1,1,Location,S1
