,term,contrast,null.value,estimate,conf.low,conf.high,adj.p.value
1,group,LA11_2-LA11_1,0,-0.0573910729482254,-0.30493590764313,0.190153761746679,0.999999931046041
2,group,LA11_3-LA11_1,0,0.00180129738142659,-0.245743537313478,0.249346132076331,1
3,group,LA11_4-LA11_1,0,0.0388771460868966,-0.208667688608008,0.286421980781801,0.999999999992224
4,group,LA14_1-LA11_1,0,-0.0948764187728807,-0.342421253467785,0.152668415922024,0.999024484140753
5,group,LA14_2-LA11_1,0,-0.0991930808601665,-0.346737915555071,0.148351753834738,0.998083719082982
6,group,LA14_3-LA11_1,0,-0.107016680237043,-0.354561514931948,0.140528154457862,0.994388310101616
7,group,LA14_4-LA11_1,0,-0.0925578726239365,-0.340102707318841,0.154986962070968,0.999339152805168
8,group,LA3_1-LA11_1,0,-0.0688892449683423,-0.316434079663247,0.178655589726562,0.99999682706634
9,group,LA3_2-LA11_1,0,-0.108476245427278,-0.356021080122182,0.139068589267627,0.993274033234902
10,group,LA3_3-LA11_1,0,-0.0879610746241285,-0.335505909319033,0.159583760070776,0.999712494947966
11,group,LA3_4-LA11_1,0,-0.0665620513065683,-0.314106886001473,0.180982783388336,0.999998414750483
12,group,LA6_1-LA11_1,0,-0.0689320586724581,-0.316476893367363,0.178612776022447,0.999996787406549
13,group,LA6_2-LA11_1,0,-0.0302837561218408,-0.277828590816745,0.217261078573064,1
14,group,LA6_3-LA11_1,0,-0.0682622142448723,-0.315807048939777,0.179282620450032,0.999997358549056
15,group,LA6_4-LA11_1,0,-0.0826924242561909,-0.330237258951096,0.164852410438714,0.999900578586769
16,group,LB1_1-LA11_1,0,-0.196849646350784,-0.473613185279161,0.0799138925775938,0.536884133111554
17,group,LB1_2-LA11_1,0,-0.017939055049864,-0.265483889744769,0.229605779645041,1
18,group,LB1_3-LA11_1,0,-0.0556843354414776,-0.303229170136382,0.191860499253427,0.999999964501845
19,group,LB1_4-LA11_1,0,0.0343659978345521,-0.213178836860353,0.281910832529457,1
20,group,LB14_1-LA11_1,0,-0.109512411409998,-0.357057246104903,0.138032423284907,0.992377323992952
21,group,LB14_2-LA11_1,0,-0.107295802409918,-0.354840637104823,0.140249032284986,0.994187951593789
22,group,LB14_3-LA11_1,0,-0.168892034838598,-0.416436869533502,0.0786527998563069,0.618692233052906
23,group,LB14_4-LA11_1,0,-0.0444030556033315,-0.291947890298236,0.203141779091573,0.999999999805037
24,group,LB2_1-LA11_1,0,-0.0302540756354502,-0.277798910330355,0.217290759059454,1
25,group,LB2_2-LA11_1,0,-0.0446153385194965,-0.292160173214401,0.202929496175408,0.999999999781656
26,group,LB2_3-LA11_1,0,-0.0898583622526407,-0.337403196947545,0.157686472442264,0.999590548229337
27,group,LB2_4-LA11_1,0,0.000836795952463554,-0.246708038742441,0.248381630647368,1
28,group,LA11_3-LA11_2,0,0.059192370329652,-0.188352464365253,0.306737205024557,0.99999986508279
29,group,LA11_4-LA11_2,0,0.096268219035122,-0.151276615659783,0.343813053730027,0.998778836420097
30,group,LA14_1-LA11_2,0,-0.0374853458246552,-0.28503018051956,0.210059488870249,1
31,group,LA14_2-LA11_2,0,-0.0418020079119411,-0.289346842606846,0.205742826782964,0.999999999954121
32,group,LA14_3-LA11_2,0,-0.0496256072888177,-0.297170441983722,0.197919227406087,0.99999999736858
33,group,LA14_4-LA11_2,0,-0.0351667996757111,-0.282711634370616,0.212378035019194,1
