,term,contrast,null.value,estimate,conf.low,conf.high,adj.p.value
1,group,S2-S1,0,-0.00549595159052835,-0.0875937919476388,0.0766018887665822,0.999993775288365
2,group,S3-S1,0,0.0482598990527946,-0.0338379413043159,0.130357739409905,0.565172760812676
3,group,S4-S1,0,-0.0498842285042723,-0.131982068861383,0.0322136118528382,0.525653731727968
4,group,S5-S1,0,0.0331497805145066,-0.0507931855127412,0.117092746541754,0.893552666028614
5,group,S6-S1,0,0.0106861569604517,-0.0714116833966588,0.0927839973175622,0.999689068217461
6,group,S7-S1,0,-0.0679485573638945,-0.150046397721005,0.014149282993216,0.171576709092653
7,group,S3-S2,0,0.0537558506433229,-0.0283419897137876,0.135853691000433,0.433739662469765
8,group,S4-S2,0,-0.0443882769137439,-0.126486117270854,0.0377095634433666,0.658747340428868
9,group,S5-S2,0,0.0386457321050349,-0.0452972339222129,0.122588698132283,0.803149658270279
10,group,S6-S2,0,0.0161821085509801,-0.0659157318061304,0.0982799489080906,0.996728087037407
11,group,S7-S2,0,-0.0624526057733661,-0.144550446130477,0.0196452345837444,0.255706683066219
12,group,S4-S3,0,-0.0981441275570669,-0.180241967914177,-0.0160462871999564,0.00912891769685298
13,group,S5-S3,0,-0.015110118538288,-0.0990530845655358,0.0688328474889598,0.998024931139089
14,group,S6-S3,0,-0.0375737420923429,-0.119671582449453,0.0445240982647676,0.807462110269701
15,group,S7-S3,0,-0.116208456416689,-0.1983062967738,-0.0341106160595786,0.000996669180738596
16,group,S5-S4,0,0.0830340090187788,-0.00090895700846895,0.166976975046027,0.0544603009790413
17,group,S6-S4,0,0.060570385464724,-0.0215274548923865,0.142668225821834,0.289856872844641
18,group,S7-S4,0,-0.0180643288596222,-0.100162169216733,0.0640335114974883,0.994029075095409
19,group,S6-S5,0,-0.0224636235540548,-0.106406589581303,0.0614793424731929,0.983207850416156
20,group,S7-S5,0,-0.101098337878401,-0.185041303905649,-0.0171553718511533,0.00839253424030229
21,group,S7-S6,0,-0.0786347143243462,-0.160732554681457,0.00346312603276429,0.0693509385196018
