sum.taxonomy,LA11,LA14,LA3,LA6,LB1,LB14,LB2
;;;;;;,0.6646789471911165,0.5946120999634025,1,0.8289555396510216,0.8201657476054752,0.6535313723355822,0.5494901348286225
Eukaryota;;Labyrinthulomycetes;;Thraustochytriaceae;Thraustochytrium;,0.1476001732943842,0,0.0719528084687717,0,0.9774756337217912,1,0.7680790830380344
Eukaryota;;Labyrinthulomycetes;;Thraustochytriaceae;Thraustochytrium;Thraustochytrium aureum,1,0,0.5555056840504111,0,0.8253388648600724,0.2572400492152715,0.9114986281013042
Eukaryota;;Oomycetes;;;;,0.43123164609958337,0.66420034564154,0.7634945957755009,1,0.3433985098274819,0.721995319857132,0.24135705354287565
Eukaryota;;Oomycetes;Peronosporales;Peronosporaceae;;,0.2656558196167099,0.28040017144718365,0.577078517647621,1,0.08581921665541846,0.021501253118331273,0.051652243160778606
Eukaryota;;Oomycetes;Peronosporales;Peronosporaceae;Nothophytophthora;Nothophytophthora vietnamensis,1,0,0,0,0,0.8458658088902163,0
Eukaryota;;Oomycetes;Peronosporales;Peronosporaceae;Phytophthora;,0.3821530444636165,0.2938780095332279,0.4976876282292901,0.7718134748718348,0.35579715348812263,1,0.17085677549083336
Eukaryota;;Oomycetes;Peronosporales;Peronosporaceae;Phytophthora;Phytophthora bisheria,0,0,0,0,0.5864050317401766,0,1
Eukaryota;;Oomycetes;Peronosporales;Peronosporaceae;Phytophthora;Phytophthora fallax,0.4109323006491378,0.4652615291848148,0.9114703777336735,0.8124209795971832,0.41867400395426374,1,0
Eukaryota;;Oomycetes;Peronosporales;Peronosporaceae;Phytophthora;Phytophthora multivora,0,0,0,0,0,1,0
Eukaryota;;Oomycetes;Peronosporales;Peronosporaceae;Phytophthora;Phytophthora riparia,0.44644269286336663,0,1,0.5606753831821456,0.615801511780111,0.5672652311872854,0
Eukaryota;;Oomycetes;Pythiales;Pythiaceae;;,0.2634983461088846,0,1,0,0,0.17705757516049722,0.26174992256902446
Eukaryota;;Oomycetes;Pythiales;Pythiaceae;Pythium;,0.1797162870600378,0.18255312363235107,0.353402750288222,0.8998244546574236,0.2616880531938849,1,0.16280901752180824
Eukaryota;;Oomycetes;Saprolegniales;Saprolegniaceae;Saprolegnia;Saprolegnia turfosa,0.37443216882818675,0.33294372099757014,1,0.5786938038943092,0.25738830168447685,0.4141714830097175,0
Eukaryota;;Phaeophyceae;;;;,0.43763437389721516,0.8056052330981317,1,0.7947267892457204,0.4288752622635485,0.5887743534379115,0.3929728708453673
Eukaryota;;Phaeophyceae;Cutleriales;Cutleriaceae;Cutleria;Cutleria multifida,0.3374599934828108,1,0.2763709924913346,0.8178149528318527,0,0.5225855164968548,0
Eukaryota;;Phaeophyceae;Ectocarpales;;;,0.4599556103068886,0.46053564039302064,1,0.7428616016290943,0.5443480138678078,0.8589037950831818,0.4377476860891715
Eukaryota;;Phaeophyceae;Ectocarpales;Chordariaceae;;,1,0.07893400828760863,0.952793390637949,0.3001167412299706,0.4987866337447305,0.8869879005224175,0.6105239300814834
Eukaryota;;Phaeophyceae;Ectocarpales;Chordariaceae;Laminariocolax;Laminariocolax aecidioides,0.45675934895042763,0,1,0.23361474299256066,0.2606567245630099,0.540252601130748,0.4326144553571377
Eukaryota;;Phaeophyceae;Ectocarpales;Chordariaceae;Leathesia;Leathesia difformis,1,0,0.9099712157778164,0,0.5943229624949324,0,0.6643125594636624
Eukaryota;;Phaeophyceae;Ectocarpales;Chordariaceae;Punctaria;Punctaria latifolia,1,0.5807176179828802,0.5566070635823016,0.3516869332421127,0.41891592154750235,0.10433832866917576,0.07712335782691594
Eukaryota;;Phaeophyceae;Ectocarpales;Scytosiphonaceae;;,0.3139816741017084,0,1,0.26698827770578365,0,0.810378901696122,0
Eukaryota;;Phaeophyceae;Ectocarpales;Scytosiphonaceae;Hydroclathrus;Hydroclathrus stephanosorus,0.5878801984149961,0,0.37761462980004556,0,0,1,0
Eukaryota;;Phaeophyceae;Fucales;Durvillaeaceae;Durvillaea;Durvillaea potatorum,0.9417198556542742,0,0.7198278880563368,0,0.3837845036247418,1,0
Eukaryota;;Phaeophyceae;Fucales;Durvillaeaceae;Durvillaea;Durvillaea sp. A CIF-2010,0.6431698198809047,0.32728229071353876,0.29592102283919297,0.6470709682008661,0.2839926439977534,1,0.28804435227968533
Eukaryota;;Raphidophyceae;Chattonellales;Chattonellaceae;Chattonella;,0.42033672146001366,0.3654193370181232,0.5396167747199389,0.5327478932168337,0.15747141641264845,1,0.19557312602544713
Eukaryota;;Raphidophyceae;Chattonellales;Chattonellaceae;Chattonella;Chattonella subsalsa,0.6664007824077075,0,0,0,0,1,0
Eukaryota;;Raphidophyceae;Chattonellales;Chattonellaceae;Heterosigma;Heterosigma akashiwo,0.36631195311865977,0,1,0,0.5287184697101963,0.20259472542403048,0.73003689341517
Eukaryota;Annelida;;;;;,0.003791706069500733,0.012720018728351238,0,0.04769135570908041,0.04249453341513019,1,0
